date_time,sentiment_1,sentiment_2,s1_removed,s2_removed,s1_scaled,s2_scaled
2018-01-01,0.18087534246575346,0.16529721135029352,0.49592666666666674,0.4636527777777777,0.6591384967639435,0.7426105990170323
2018-01-02,0.14023689320388322,0.07741045817047029,0.45431600000000005,0.4176208333333333,0.5266790627464075,0.34722966773521935
2018-01-03,-0.10397988980716286,0.02163909550746674,-0.2501393939393944,0.005108072518110449,-0.2693359782502088,0.09632799585941197
2018-01-04,-0.04785335051546394,0.02640517174220284,0.12088000000000002,0.16626672815393517,-0.08639372127494138,0.11776940303478473
2018-01-05,0.039272300469483566,0.07477163344827664,0.2239027777777778,0.3171572788065843,0.1975889263775051,0.3353582429937041
2018-01-06,0.21161415929203534,0.09526243724114297,0.646823076923077,0.6182011217948719,0.7593304665150704,0.42754133991343823
2018-01-07,0.13895106382978725,0.09984959780172546,0.5134384615384616,0.6269230769230769,0.5224879522530335,0.4481778493845685
2018-01-08,0.06604954545454542,0.03522427076891359,0.20076774193548383,0.1891111576595447,0.28486830784244055,0.15744436496121916
2018-01-09,0.19068499999999985,0.09315609592953346,0.48292222222222214,0.4688078703703703,0.6911126913627346,0.41806542734129515
2018-01-10,-0.006496875000000036,-0.04000311429022369,-0.30579729729729715,-0.3402828965328967,0.04840609119916099,-0.18098517631128352
2018-01-11,0.11045632183908052,0.050632363592133696,0.13695555555555552,0.14224426807760138,0.42961045655326213,0.22676159274930843
2018-01-12,0.06753140495867772,0.04812678884476403,0.11242941176470587,0.08834033613445375,0.28969837086837,0.21548962693912257
2018-01-13,0.12178666666666663,0.09718466982752695,0.39756153846153847,0.28926490176490177,0.4665412718364559,0.43618899251916937
2018-01-14,-0.19407019867549702,0.01866105472893553,-0.27945,-0.07062500000000002,-0.5629818121812094,0.08293052133897193
2018-01-15,0.05015434782608696,0.05804886991028296,0.38272941176470593,0.3303921568627451,0.23305853360880652,0.260126634337857
2018-01-16,0.11470441176470586,0.10659298370021408,0.48764047619047624,0.3783845827893446,0.44345693931587804,0.4785146874184165
2018-01-17,0.03091933333333333,0.09854590247715247,0.4086035714285714,0.326367050608122,0.1703627570891099,0.44231284410347965
2018-01-18,0.06315061728395062,0.09041984550086402,0.45043999999999984,0.4359494047619048,0.275419364988837,0.4057557082588981
2018-01-19,0.16506274509803923,0.10216067656018638,0.27308333333333334,0.36463293650793643,0.607597954845681,0.45857482547852285
2018-01-20,0.12458717948717947,0.0724337814962815,0.38426923076923075,0.37368881118881114,0.4756694337102909,0.32484082087335836
2018-01-21,0.08830333333333337,0.09285682720057718,0.33145263157894744,0.2180669476722109,0.35740365800247503,0.41671909078342784
2018-01-22,0.027815094339622648,0.06511898900656764,0.21252142857142856,0.13081349206349208,0.16024461164727866,0.29193336483389404
2018-01-23,0.02564435028248607,0.08449149841840518,0.3624222222222222,0.3459696168029502,0.1531691563967008,0.37908552981199983
2018-01-24,0.045081749049429645,0.04731479881194717,0.23796333333333328,0.28849711399711403,0.21652459653300113,0.2118366830795423
2018-01-25,0.013409677419354817,0.09429397420828865,0.30259393939393925,0.37851813590449956,0.1132907192940177,0.42318446243204483
2018-01-26,0.025283916083916103,0.07896949010585373,0.27171666666666666,0.34268518518518515,0.1519943352406205,0.3542433697575112
2018-01-27,0.021336842105263182,0.0015694222931064913,0.28612222222222217,0.1671296296296296,0.1391290021697481,0.006039462048412761
2018-01-28,0.11411500000000005,0.05863300865800869,0.3783478260869566,0.23023291925465836,0.44153577474945693,0.26275453119053777
2018-01-29,0.12223938053097348,0.14424141262498563,0.4622367346938776,0.5236113779927556,0.46801687494944777,0.6478857285708468
2018-01-30,0.06000445859872618,0.08648351118096341,0.3811111111111112,0.492361111111111,0.2651645839540401,0.38804710630321493
2018-01-31,-0.01218849557522123,0.06098593392841183,0.4403888888888889,0.33287037037037037,0.029854476811066448,0.273339764470746
2018-02-01,0.14535896551724123,0.16470376486540264,0.5853756097560967,0.49221974756273507,0.5433742568777662,0.7399408289393736
2018-02-02,0.11717816091954018,0.06249587072144533,0.5134733333333334,0.37260642135642136,0.45152002781709594,0.2801325994977124
2018-02-03,-0.1376184397163121,-0.029082363656831773,0.48419000000000006,0.26123484848484846,-0.37897951443497224,-0.1318553996441188
2018-02-04,0.09888360655737709,0.09014075178009603,0.36473500000000003,0.45541666666666664,0.39188964426580086,0.40450013411103575
2018-02-05,0.09267368421052635,0.0713143942270737,0.5326074999999999,0.34107061688311696,0.3716486455491377,0.31980497229605537
2018-02-06,0.09498304347826088,0.09427032749858838,0.5608472222222223,0.47440491221741216,0.37917591165065895,0.4230780816890458
2018-02-07,0.016714340101522774,0.06085894088638367,0.36560204081632625,0.2515346706864563,0.12406213790003108,0.2727684539443385
2018-02-08,-0.03405205479452058,0.06496258229838216,0.20194651162790705,0.21161082726489708,-0.04140893831423777,0.291229729442852
2018-02-09,0.04748100775193798,0.030855749726873754,0.24415937499999996,0.11911263866341994,0.22434488632181665,0.13779146102025938
2018-02-10,0.015619999999999997,0.09243867003367003,-0.0692030303030303,0.5138085399449033,0.12049517919212568,0.4148379043236705
2018-02-11,0.0951767441860465,0.05389566461029641,0.11553125000000003,0.22053571428571433,0.37980727152260546,0.24144238307244295
2018-02-12,0.2854513812154696,0.160218313689265,0.6358931818181818,0.5611320400125442,1.0,0.7197618850249049
2018-02-13,0.14904391891891886,0.09136544174044174,0.24137857142857144,0.2931794217687075,0.555385218192306,0.4100097136498568
2018-02-14,0.07914966887417219,0.09250744026288016,0.265947619047619,0.24086580086580084,0.32756764714404485,0.4151472847056484
2018-02-15,0.22479940828402356,0.11313000034153885,0.41639130434782606,0.36914800175669743,0.8023072692863745,0.5079231208163756
2018-02-16,0.014661445783132542,0.07113700472887219,0.18717368421052633,0.2520770676691729,0.1173708092580466,0.3190069404828307
2018-02-17,0.14931391752577322,0.157472086011068,0.38392786885245905,0.41592582736025363,0.5562652680785356,0.7074072807457392
2018-02-18,0.12824740740740737,0.04823291112180001,0.2939428571428572,0.24712430426716142,0.4875998032862647,0.2159670450164337
2018-02-19,0.14382475247524756,0.09029787978797879,0.22886666666666658,0.3210555555555555,0.5383735495452775,0.4052070144523771
2018-02-20,-0.008115789473684208,0.05632636786772126,0.004500000000000004,0.2489772727272727,0.04312930286688067,0.2523775204261233
