date_time,sentiment_1,sentiment_2,s1_no_0,s2_no_0,s1_scaled,s2_scaled
2018-01-01,0.1592196078431373,0.05614379084967321,0.25375625000000007,0.20452380952380955,0.5458136893229394,0.017779233707319514
2018-01-02,0.12910632183908022,0.010885807997876964,0.16397445255474422,0.06531484798726178,0.4476747784542682,-0.13633986088107589
2018-01-03,-0.1397482758620688,-0.054145768025078346,-0.20468181818181796,-0.08723484848484844,-0.4285197822081165,-0.3577948835040403
2018-01-04,-0.06292776025236589,0.012495970293288906,-0.08635541125541121,0.027508490159531825,-0.1781624570961947,-0.13085670101683966
2018-01-05,0.05009096385542168,0.026262810984196527,0.08940967741935484,0.06920042259327974,0.19016448305277406,-0.08397584400707672
2018-01-06,0.2227268041237114,0.06541906175153595,0.30863571428571435,0.09915076546717166,0.7527830341649066,0.04936474113345171
2018-01-07,0.06362297297297297,0.028566456066456067,0.1001723404255319,0.07829324995991663,0.23426517125008645,-0.0761311352516409
2018-01-08,0.1346366972477064,0.07404208864529967,0.19567199999999998,0.12045653227369647,0.46569821897896996,0.07872913198202669
2018-01-09,0.21563606557377044,0.05881656879095405,0.3812695652173912,0.17084812839277128,0.7296743850971178,0.026880967598000183
2018-01-10,-0.09284871794871795,0.005837927504594171,-0.17808688524590166,0.022767917267917267,-0.2756745718508569,-0.15352964094181693
2018-01-11,0.11180074074074076,0.032477553310886635,0.26479122807017547,0.07187655240933927,0.3912760552889622,-0.06281249557358279
2018-01-12,0.03957727272727273,0.01576154196182605,0.06332363636363636,0.044742441698086846,0.1559004642941724,-0.11973629932954957
2018-01-13,0.07712499999999999,0.046140365710678206,0.13340540540540538,0.13422651843106387,0.2782681481013431,-0.016285890897400124
2018-01-14,-0.20426363636363665,-0.012290285472103656,-0.27046018518518555,-0.04506438006438007,-0.6387747245970188,-0.21526247997760223
2018-01-15,0.014424770642201837,0.049583316785151654,0.031446,0.12010181176847845,0.07392870073710744,-0.004561450945058526
2018-01-16,0.03749878787878788,0.06790755498710052,0.06725326086956522,0.14365059708809724,0.14912670206643489,0.0578389218235294
2018-01-17,-0.0010034782608695735,0.06464950749733359,-0.001424691358024703,0.11616708378427128,0.023648185227966124,0.046744142568935526
2018-01-18,0.05601129032258067,0.052435086269763696,0.10366268656716422,0.13003901394901396,0.20945877034495708,0.005149811096435197
2018-01-19,0.15799746835443038,0.08766144720258644,0.29027441860465114,0.1648870078334364,0.5418307484265147,0.1251077612858832
2018-01-20,0.1267746031746032,0.05764382773311346,0.2576387096774194,0.165070961235734,0.44007572964394914,0.022887378431357602
