,open_close_diff,pos_neg,close_low_diff,sentiment_1,sentiment_2,s1_no_0,s2_no_0,s1_scaled,s2_scaled
2018-01-04,-4.380004999999983,-1.0,-11.570006999999976,-0.1397482758620688,-0.054145768025078346,-0.204681818181818,-0.08723484848484844,-0.4285197822081165,0.4476747784542682
2018-01-05,2.0,1.0,-2.619995000000017,-0.06292776025236589,0.012495970293288906,-0.08635541125541121,0.027508490159531825,-0.1781624570961947,-0.4285197822081165
2018-01-08,-0.5799870000000169,-1.0,-1.079987000000017,0.11214691365070202,0.04008277626739618,0.16607257737686704,0.08221481267345601,0.39240422948925574,-0.1781624570961947
2018-01-09,-1.25,-1.0,-9.010010000000023,0.1346366972477064,0.07404208864529968,0.195672,0.12045653227369647,0.46569821897897,0.39240422948925574
2018-01-10,-1.4899899999999775,-1.0,-3.6900019999999927,0.21563606557377046,0.05881656879095405,0.3812695652173912,0.17084812839277128,0.7296743850971178,0.46569821897897
2018-01-11,0.4400019999999927,1.0,-1.5399779999999623,-0.09284871794871796,0.005837927504594171,-0.17808688524590166,0.02276791726791727,-0.2756745718508569,0.7296743850971178
2018-01-12,0.6799929999999677,1.0,-4.279999000000032,0.11180074074074076,0.032477553310886635,0.2647912280701755,0.07187655240933928,0.3912760552889622,-0.2756745718508569
2018-01-16,1.3200080000000298,1.0,-1.420012999999983,-0.029187121212121313,0.016537207400133532,-0.02457704780538127,0.04463486002159022,-0.06820203740050108,0.3912760552889622
2018-01-17,0.4100029999999606,1.0,-0.3099980000000073,0.03749878787878788,0.06790755498710052,0.06725326086956522,0.14365059708809724,0.14912670206643489,-0.06820203740050108
2018-01-18,-1.4899910000000318,-1.0,-3.4200140000000374,-0.0010034782608695737,0.06464950749733359,-0.0014246913580247028,0.11616708378427128,0.023648185227966124,0.14912670206643489
2018-01-19,0.4299930000000245,1.0,-1.970000999999968,0.05601129032258067,0.052435086269763696,0.10366268656716422,0.13003901394901396,0.20945877034495708,0.023648185227966124
2018-01-22,-0.6199950000000172,-1.0,-0.8199769999999944,0.13150842100613178,0.051627988189193674,0.24404723323688068,0.11832299733228667,0.4555031966488558,0.20945877034495708
2018-01-23,8.440001999999993,1.0,-0.5599980000000073,0.06652417582417583,0.03399467199467199,0.19528064516129034,0.0909857397504456,0.24372016357433074,0.4555031966488558
2018-01-24,1.7899780000000192,1.0,-9.270019999999988,0.1453049122807019,0.06891402116402114,0.19172175925925944,0.13452394542291798,0.5004658296644962,0.24372016357433074
2018-01-25,2.3799740000000043,1.0,-9.490021000000013,0.0017507692307691738,0.044112794612794624,0.0022313725490195357,0.09887350516660864,0.032624251441921645,0.5004658296644962
2018-01-26,3.8599849999999947,1.0,-1.930024000000003,0.03258291139240509,0.05726393112864636,0.053626041666666714,0.1391954018204019,0.13310590764786762,0.032624251441921645
2018-01-29,-3.0,-1.0,-4.5700069999999755,0.07678682659012212,0.007881464939693486,0.10351430069144556,0.0325940851476566,0.27716604419525703,0.13310590764786762
2018-01-30,-4.389984000000027,-1.0,-7.359986000000049,0.1328591463414635,0.2018972917326576,0.21788900000000014,0.34135212210469945,0.4599051975887173,0.27716604419525703
2018-01-31,1.690003000000047,1.0,-0.6300049999999828,0.13370652173913045,0.0668366506681724,0.20849152542372884,0.19215537067099567,0.4626667858993632,0.4599051975887173
2018-02-01,-3.3099980000000073,-1.0,-5.6799930000000245,0.024651428571428564,0.04909918058132343,0.049302857142857134,0.1272941718775052,0.10725728104765724,0.4626667858993632
2018-02-02,-0.8099980000000073,-1.0,-8.739989999999977,0.09101924882629094,0.1211162175070626,0.1457676691729321,0.3035029921059333,0.3235493720423902,0.10725728104765724
